Heart Number,Visible Heart (functional),Perfusion Fixed (endoscope),Anatomical Plates,Pre-fixed Anatomical Plates,Comparative Imaging,Cardiac MRI,Coronary Vasculature Models (Venous),Coronary Vasculature Models (Arterial),Coronary Vasculature Models (Both),Blood Volume and Tissue Models
"0002",Yes,,,,,,,,,
"0003",Yes,,,,,,,,,
"0004",Yes,,Yes,,,,,,,
"0005",,Yes,Yes,,,,,,,
"0006",Yes,,,,,,,,,
"0007",,Yes,,,,,,,,
"0008",Yes,,Yes,,,,Yes,,,
"0009",Yes,,,,,,,,,
"0010",,,Yes,,,,,,,
"0011",Yes,,,,,,,,,
"0012",,Yes,,,,,,,,
"0013",Yes,,Yes,,,,,,,
"0014",Yes,,,,,,,,,
"0015",Yes,,Yes,,,,,,,
"0016",,Yes,,,,,,,,
"0017",Yes,,Yes,,,,,,,
"0018",,Yes,,,,,,,,
"0019",,Yes,,,,Yes,,Yes,,
"0020",,Yes,Yes,,,,,,,
"0021",,,Yes,,,,,,,
"0022",,Yes,Yes,,,,,Yes,,
"0023",Yes,,,,,,,,,
"0024",,Yes,,,,,,,,
"0026",Yes,,Yes,,,,Yes,,,
"0032",,,Yes,,,,,,,
"0034",,,Yes,,,,Yes,,,
"0035",,,Yes,,,Yes,Yes,Yes,,
"0036",,,Yes,,,,Yes,Yes,,
"0037",Yes,,Yes,,,,,,,
"0042",,Yes,Yes,,,,,,,
"0044",,,Yes,,,,,,,
"0046",Yes,Yes,Yes,,,Yes,Yes,,,Yes
"0047",,,Yes,,,Yes,Yes,,,
"0048",Yes,,Yes,,,Yes,,,,
"0049",Yes,,Yes,,,,,Yes,,
"0050",,Yes,Yes,,,Yes,,,,
"0051",,,Yes,,,Yes,,,,
"0052",,,Yes,,,,,,,
"0053",Yes,Yes,Yes,,,Yes,,,,
"0054",,Yes,Yes,,,Yes,,,,
"0055",,,Yes,,,Yes,Yes,Yes,,
"0056",,,Yes,,,Yes,,Yes,,
"0057",,,Yes,,,Yes,,,,
"0058",Yes,,Yes,,,,,,,
"0059",,,,,,Yes,,,,Yes
"0060",,,Yes,,,Yes,Yes,Yes,,
"0061",,,Yes,,,Yes,,,,
"0062",,,Yes,,,Yes,Yes,Yes,,Yes
"0063",,,,,,Yes,Yes,Yes,,
"0064",,,Yes,,,Yes,,Yes,,
"0065",,,Yes,,,,,,,
"0069",,,,,,Yes,Yes,Yes,,
"0070",,,Yes,,,Yes,,,,
"0071",,Yes,Yes,,,,Yes,,,
"0072",,,Yes,,,,Yes,,,
"0073",Yes,Yes,Yes,,,,,,,Yes
"0074",,,,,,Yes,,,,
"0075",,Yes,,,,Yes,,,,
"0076",Yes,Yes,,,,Yes,Yes,,,
"0077",Yes,Yes,,,,Yes,,,,
"0078",,,,,,Yes,,,,
"0079",,Yes,,,,,Yes,,,
"0083",Yes,Yes,,,Yes,Yes,Yes,,,Yes
"0084",,,,,,Yes,,,,
"0085",Yes,,,,Yes,,,,,
"0086",Yes,Yes,Yes,,,,,,,
"0087",,,,,,,Yes,,,
"0088",,Yes,,,,Yes,,Yes,,
"0089",,Yes,,,,Yes,Yes,,,
"0090",,Yes,,,,Yes,Yes,,,
"0092",,,Yes,,,Yes,,,,
"0093",,Yes,,,,Yes,,,,
"0094",,,Yes,,,Yes,,,,Yes
"0096",,,,,,Yes,,,,Yes
"0097",,Yes,,,,Yes,,Yes,,
"0099",,Yes,,,,,Yes,Yes,,
"0100",,Yes,,,,,,,,
"0102",,,,,,Yes,,Yes,,
"0103",,Yes,,,,,,Yes,,
"0104",,Yes,,,,,Yes,,,
"0105",,,,,,,Yes,,,
"0106",,Yes,,,,,,,,
"0108",,,Yes,,,Yes,,,,
"0109",,,,,,Yes,Yes,Yes,,
"0110",,,Yes,,,Yes,,,,Yes
"0111",,,,,,Yes,Yes,,,Yes
"0112",,,,,,Yes,Yes,,,
"0115",,,Yes,,,,,,,
"0118",,,,,,Yes,,,,
"0119",,,Yes,,,Yes,,,,
"0120",Yes,,,,Yes,,,,,
"0121",,,Yes,,,Yes,,,,
"0122",,,,,,,Yes,,,
"0125",,,,,,Yes,,,,
"0126",Yes,,,,Yes,,Yes,Yes,,Yes
"0128",,,,,,,Yes,,,
"0130",,,,,,Yes,,,,
"0131",,,,,,Yes,,,,Yes
"0132",,,Yes,Yes,,Yes,,,,
"0133",,,Yes,Yes,,,,,,
"0134",Yes,,Yes,Yes,Yes,,Yes,,,
"0135",,,Yes,Yes,,,,,,
"0136",Yes,,Yes,Yes,,,,,,
"0137",,,Yes,Yes,,,Yes,,,Yes
"0138",,,Yes,Yes,,Yes,Yes,,,
"0139",,,Yes,Yes,,Yes,Yes,,,
"0140",,,Yes,Yes,,Yes,Yes,,,
"0141",,,Yes,Yes,,Yes,,,,Yes
"0142",,,Yes,Yes,,Yes,,,,Yes
"0143",,,Yes,Yes,,Yes,,,,
"0144",,Yes,Yes,Yes,,,,,,
"0145",,,Yes,Yes,,Yes,Yes,,,Yes
"0146",Yes,,Yes,Yes,Yes,,,,,
"0147",Yes,,Yes,Yes,Yes,,Yes,,,
"0148",,,Yes,Yes,,,Yes,Yes,,Yes
"0149",,,Yes,,,,Yes,,,
"0150",,,Yes,,,,Yes,,,
"0151",,,Yes,,,,Yes,,,
"0153",,,,,,Yes,Yes,Yes,Yes,
"0155",,,Yes,,,,Yes,,,
"0156",,,Yes,,,,,,,Yes
"0157",,,Yes,,,,,,,Yes
"0158",,,Yes,,,,Yes,,,
"0159",,,,,,,Yes,,,
"0160",,,Yes,,,,,,,
"0161",,,Yes,,,,Yes,,,
"0162",,,Yes,,,,Yes,,,
"0164",,,Yes,,,,,,,
"0165",,,Yes,,,,,,,
"0166",,,Yes,,,,,,,
"0168",,,Yes,,,,Yes,,,
"0170",,,,,,,Yes,Yes,,
"0171",Yes,,,,,,Yes,,,
"0172",,,,,,,Yes,Yes,,
"0175",Yes,,,,Yes,,Yes,,,
"0177",,,,,,,Yes,,,
"0178",,,,,,,,Yes,,
"0180",,,,,,,Yes,,,
"0183",,,,,,,Yes,Yes,,
"0188",,,,,,,Yes,Yes,Yes,Yes
"0191",Yes,,,,,,,Yes,,
"0193",,Yes,,,,,Yes,,,
"0194",,Yes,,,,,Yes,,,
"0195",,Yes,,,,,Yes,,,
"0196",,Yes,,,,,,,,
"0197",,Yes,,,,,,,,
"0198",,Yes,,,,,,,,
"0199",,Yes,,,,,,,,
"0201",,,,,,,Yes,,,
"0202",,,,,,,Yes,,,
"0206",Yes,Yes,,,Yes,,,,,
"0210",,,Yes,,,,Yes,,,
"0211",,,Yes,,,,,,,
"0215",,,,,,,,,,Yes
"0216",Yes,,,,Yes,,,,,
"0219",Yes,,,,,,,,,
"0222",Yes,,,,Yes,,,,,
"0225",,,,,,,Yes,,,
"0229",,,Yes,,,,,,,Yes
"0235",Yes,,,,Yes,,,,,
"0237",,,,,,,,Yes,Yes,
"0241",,,,,,,,Yes,Yes,
"0248",,,,,,,,,Yes,
"0251",,,,,,,,,Yes,
"0255",,,,,,,,Yes,Yes,
"0256",,,,,,,,Yes,Yes,
"0259",,,,,,,,Yes,Yes,
"0261",,,,,,,,,Yes,
"0268",Yes,,,,Yes,,,,,
"0271",Yes,,,,Yes,,,,,
"0274",,,,,,,Yes,Yes,Yes,
"0284",Yes,,,,Yes,,,,,
"0291",Yes,,,,Yes,,,,,
"0295",Yes,,,,,,,,,
"0317",Yes,,,,Yes,,,,,
